CASEID,SEX,RACE,SCHLCOLL,ACTIVITY,DURATION
20160112150956,1,100,5,120101,40
20160112150956,1,100,5,120303,60
20160112150956,1,100,5,10101,240
20160112151493,1,110,5,10101,390
20160112151493,1,110,5,10201,15
20160112151493,1,110,5,180905,5
20160112151493,1,110,5,90501,15
20160112151493,1,110,5,180704,20
20160112151493,1,110,5,70104,60
20160112151493,1,110,5,180704,15
20160112151493,1,110,5,70104,30
20160112151493,1,110,5,160106,2
20160112151493,1,110,5,180704,4
20160112151493,1,110,5,70104,15
20160112151493,1,110,5,180905,60
20160112151493,1,110,5,90501,2
20160112151493,1,110,5,180905,5
20160112151493,1,110,5,120301,222
20160112151493,1,110,5,181202,40
20160112151493,1,110,5,120201,120
20160112151493,1,110,5,181202,30
20160112151493,1,110,5,10201,2
20160112151493,1,110,5,10201,20
20160112151493,1,110,5,10102,90
20160112151493,1,110,5,10101,278
20160112151518,1,100,5,10101,420
20160112151518,1,100,5,110101,20
20160112151518,1,100,5,20904,5
20160112151518,1,100,5,50101,2
20160112151518,1,100,5,80201,30
20160112151518,1,100,5,80601,20
20160112151518,1,100,5,60301,523
20160112151518,1,100,5,110101,60
20160112151518,1,100,5,60301,180
20160112151518,1,100,5,10101,180
20160112152058,1,202,5,10101,480
20160112152058,1,202,5,110101,20
20160112152058,1,202,5,120307,160
20160112152058,1,202,5,10201,30
20160112152058,1,202,5,20101,3
20160112152058,1,202,5,181201,7
20160112152058,1,202,5,120101,55
20160112152058,1,202,5,180501,25
20160112152058,1,202,5,50101,80
20160112152058,1,202,5,110101,10
20160112152058,1,202,5,50101,210
20160112152058,1,202,5,181201,25
20160112152058,1,202,5,120101,95
20160112152058,1,202,5,181201,7
20160112152058,1,202,5,120307,173
20160112152058,1,202,5,10101,60
20160201161034,1,100,5,10101,90
20160201161034,1,100,5,10201,90
20160201161034,1,100,5,180501,20
20160201161034,1,100,5,180501,15
20160201161034,1,100,5,50101,265
20160201161034,1,100,5,110101,60
20160201161034,1,100,5,50101,180
20160201161034,1,100,5,181101,10
20160201161034,1,100,5,181101,50
20160201161034,1,100,5,110101,30
20160201161034,1,100,5,60101,240
20160201161034,1,100,5,180601,45
20160201161034,1,100,5,60301,60
20160201161034,1,100,5,20902,30
20160201161034,1,100,5,10201,30
